"Site","Species","N","Ni","Ng","Nnr","Nns","Landscape","flower_density"
"Midnorth 1","caliginosus",12,12,12,12,12,"Midnorth",5.06959064327485
"Midnorth 1","vosnesenskii",24,23,18,18,23,"Midnorth",5.06959064327485
"Midnorth 10","caliginosus",0,0,0,0,0,"Midnorth",204.022222222222
"Midnorth 10","vosnesenskii",11,11,9,9,11,"Midnorth",204.022222222222
"Midnorth 11","caliginosus",8,8,8,7,7,"Midnorth",107.511111111111
"Midnorth 11","vosnesenskii",38,38,24,24,38,"Midnorth",107.511111111111
"Midnorth 12","caliginosus",2,2,2,2,2,"Midnorth",22.125730994152
"Midnorth 12","vosnesenskii",28,28,20,20,28,"Midnorth",22.125730994152
"Midnorth 13","caliginosus",1,1,1,1,1,"Midnorth",2.86088369070175
"Midnorth 13","vosnesenskii",21,21,17,17,21,"Midnorth",2.86088369070175
"Midnorth 14","caliginosus",1,1,1,1,1,"Midnorth",1.9093567251462
"Midnorth 14","vosnesenskii",28,28,21,21,28,"Midnorth",1.9093567251462
"Midnorth 15","caliginosus",2,2,2,2,2,"Midnorth",0.494736842105263
"Midnorth 15","vosnesenskii",32,32,22,21,30.5454545454545,"Midnorth",0.494736842105263
"Midnorth 16","caliginosus",8,8,8,8,8,"Midnorth",9.39473684210526
"Midnorth 16","vosnesenskii",31,31,21,21,31,"Midnorth",9.39473684210526
"Midnorth 17","caliginosus",4,4,4,4,4,"Midnorth",3.68479532163743
"Midnorth 17","vosnesenskii",9,9,9,5,5,"Midnorth",3.68479532163743
"Midnorth 18","caliginosus",2,2,2,2,2,"Midnorth",4.46140350877193
"Midnorth 18","vosnesenskii",0,0,0,0,0,"Midnorth",4.46140350877193
"Midnorth 19","caliginosus",13,11,11,11,11,"Midnorth",13.4251461988304
"Midnorth 19","vosnesenskii",8,6,6,6,6,"Midnorth",13.4251461988304
"Midnorth 2","caliginosus",2,2,2,2,2,"Midnorth",1.26549707602339
"Midnorth 2","vosnesenskii",16,16,16,16,16,"Midnorth",1.26549707602339
"Midnorth 20","caliginosus",1,1,1,1,1,"Midnorth",29.6432748538012
"Midnorth 20","vosnesenskii",20,20,17,17,20,"Midnorth",29.6432748538012
"Midnorth 21","caliginosus",3,3,3,3,3,"Midnorth",30.212865497076
"Midnorth 21","vosnesenskii",12,12,12,12,12,"Midnorth",30.212865497076
"Midnorth 22","caliginosus",4,4,4,4,4,"Midnorth",1.42423651719298
"Midnorth 22","vosnesenskii",4,4,4,4,4,"Midnorth",1.42423651719298
"Midnorth 23","caliginosus",3,3,3,3,3,"Midnorth",6.69707602339181
"Midnorth 23","vosnesenskii",1,1,1,1,1,"Midnorth",6.69707602339181
"Midnorth 24","caliginosus",4,4,4,4,4,"Midnorth",5.79883040935673
"Midnorth 24","vosnesenskii",21,20,17,17,20,"Midnorth",5.79883040935673
"Midnorth 25","caliginosus",6,5,3,3,5,"Midnorth",9.02690058479532
"Midnorth 25","vosnesenskii",44,44,27,25,40.7407407407407,"Midnorth",9.02690058479532
"Midnorth 3","caliginosus",3,3,3,3,3,"Midnorth",4.14766081871345
"Midnorth 3","vosnesenskii",48,48,28,27,46.2857142857143,"Midnorth",4.14766081871345
"Midnorth 4","caliginosus",1,1,1,1,1,"Midnorth",1.24561403508772
"Midnorth 4","vosnesenskii",11,11,11,8,8,"Midnorth",1.24561403508772
"Midnorth 5","caliginosus",4,4,4,4,4,"Midnorth",30.5602339181287
"Midnorth 5","vosnesenskii",27,27,20,18,24.3,"Midnorth",30.5602339181287
"Midnorth 6","caliginosus",7,7,7,7,7,"Midnorth",16.4356725146199
"Midnorth 6","vosnesenskii",46,45,27,27,45,"Midnorth",16.4356725146199
"Midnorth 7","caliginosus",8,7,7,7,7,"Midnorth",18.0883040935673
"Midnorth 7","vosnesenskii",16,15,15,15,15,"Midnorth",18.0883040935673
"Midnorth 8","caliginosus",4,4,4,4,4,"Midnorth",11.5941520467836
"Midnorth 8","vosnesenskii",26,26,19,19,26,"Midnorth",11.5941520467836
"Midnorth 9","caliginosus",4,4,3,3,4,"Midnorth",6.21754385964912
"Midnorth 9","vosnesenskii",7,7,7,7,7,"Midnorth",6.21754385964912
"North 1","caliginosus",1,1,1,1,1,"North",12.4771929824561
"North 1","vosnesenskii",69,69,37,35,65.2702702702703,"North",12.4771929824561
"North 10","caliginosus",7,7,7,7,7,"North",14.6643274853801
"North 10","vosnesenskii",67,66,35,35,66,"North",14.6643274853801
"North 11","caliginosus",13,13,13,13,13,"North",7.58947368421053
"North 11","vosnesenskii",32,32,22,22,32,"North",7.58947368421053
"North 12","caliginosus",2,2,2,2,2,"North",4.31637426900585
"North 12","vosnesenskii",32,32,21,21,32,"North",4.31637426900585
"North 13","caliginosus",9,9,9,9,9,"North",1.25906432748538
"North 13","vosnesenskii",6,5,6,6,5,"North",1.25906432748538
"North 14","caliginosus",21,21,21,20,20,"North",10.4526315789474
"North 14","vosnesenskii",46,46,27,25,42.5925925925926,"North",10.4526315789474
"North 15","caliginosus",3,3,3,3,3,"North",5.71578947368421
"North 15","vosnesenskii",0,0,0,0,0,"North",5.71578947368421
"North 16","caliginosus",0,0,0,0,0,"North",1.4046783625731
"North 16","vosnesenskii",3,3,3,3,3,"North",1.4046783625731
"North 17","caliginosus",0,0,0,0,0,"North",6.01286549707602
"North 17","vosnesenskii",33,33,21,21,33,"North",6.01286549707602
"North 18","caliginosus",5,4,4,4,4,"North",28.806432748538
"North 18","vosnesenskii",115,115,53,53,115,"North",28.806432748538
"North 19","caliginosus",0,0,0,0,0,"North",14.5777777777778
"North 19","vosnesenskii",1,1,1,1,1,"North",14.5777777777778
"North 2","caliginosus",7,7,7,5,5,"North",2.47953216374269
"North 2","vosnesenskii",23,23,18,18,23,"North",2.47953216374269
"North 20","caliginosus",11,11,11,10,10,"North",23.7345029239766
"North 20","vosnesenskii",2,2,2,2,2,"North",23.7345029239766
"North 21","caliginosus",2,2,2,2,2,"North",2.07426900584795
"North 21","vosnesenskii",66,66,34,34,66,"North",2.07426900584795
"North 22","caliginosus",16,16,16,13,13,"North",9.64247740584795
"North 22","vosnesenskii",13,13,13,13,13,"North",9.64247740584795
"North 23","caliginosus",1,1,1,1,1,"North",9.91520467836257
"North 23","vosnesenskii",9,9,9,9,9,"North",9.91520467836257
"North 24","caliginosus",1,1,1,1,1,"North",0.578947368421053
"North 24","vosnesenskii",0,0,0,0,0,"North",0.578947368421053
"North 25","caliginosus",0,0,0,0,0,"North",2.86315789473684
"North 25","vosnesenskii",1,1,1,1,1,"North",2.86315789473684
"North 3","caliginosus",2,2,2,2,2,"North",3.13391812865497
"North 3","vosnesenskii",56,55,29,29,55,"North",3.13391812865497
"North 4","caliginosus",1,1,1,1,1,"North",4.9311612364269
"North 4","vosnesenskii",3,3,3,3,3,"North",4.9311612364269
"North 5","caliginosus",4,4,4,4,4,"North",32.9442495128655
"North 5","vosnesenskii",129,129,61,61,129,"North",32.9442495128655
"North 6","caliginosus",2,2,2,2,2,"North",5.2
"North 6","vosnesenskii",28,28,20,18,25.2,"North",5.2
"North 7","caliginosus",4,4,4,4,4,"North",9.91169590643275
"North 7","vosnesenskii",97,97,47,46,94.936170212766,"North",9.91169590643275
"North 8","caliginosus",3,3,3,3,3,"North",15.3461988304094
"North 8","vosnesenskii",41,41,26,26,41,"North",15.3461988304094
"North 9","caliginosus",8,8,8,8,8,"North",16.6423326836257
"North 9","vosnesenskii",55,55,29,28,53.1034482758621,"North",16.6423326836257
"South 1","caliginosus",0,0,0,0,0,"South",20.3695906432749
"South 1","vosnesenskii",6,6,6,5,5,"South",20.3695906432749
"South 10","caliginosus",2,2,2,2,2,"South",9.24502923976608
"South 10","vosnesenskii",5,5,4,4,5,"South",9.24502923976608
"South 11","caliginosus",5,4,4,4,4,"South",31.6894736842105
"South 11","vosnesenskii",2,1,1,1,1,"South",31.6894736842105
"South 12","caliginosus",2,2,1,1,2,"South",20.3713450292398
"South 12","vosnesenskii",0,0,0,0,0,"South",20.3713450292398
"South 13","caliginosus",2,2,2,2,2,"South",4.34853801169591
"South 13","vosnesenskii",0,0,0,0,0,"South",4.34853801169591
"South 14","caliginosus",4,4,4,4,4,"South",11.8502923976608
"South 14","vosnesenskii",2,2,2,2,2,"South",11.8502923976608
"South 15","caliginosus",2,2,2,2,2,"South",61.6976608187134
"South 15","vosnesenskii",9,9,6,6,9,"South",61.6976608187134
"South 16","caliginosus",4,4,4,4,4,"South",2.43625730994152
"South 16","vosnesenskii",7,7,7,7,7,"South",2.43625730994152
"South 17","caliginosus",0,0,0,0,0,"South",5.79824561403509
"South 17","vosnesenskii",2,1,1,1,1,"South",5.79824561403509
"South 18","caliginosus",5,5,5,5,5,"South",16.9473684210526
"South 18","vosnesenskii",13,13,12,11,11.9166666666667,"South",16.9473684210526
"South 19","caliginosus",3,3,3,3,3,"South",16.2345029239766
"South 19","vosnesenskii",2,2,2,2,2,"South",16.2345029239766
"South 2","caliginosus",1,1,1,1,1,"South",18.5760233918129
"South 2","vosnesenskii",1,1,1,1,1,"South",18.5760233918129
"South 20","caliginosus",2,2,2,2,2,"South",9.05555555555556
"South 20","vosnesenskii",2,1,1,1,1,"South",9.05555555555556
"South 21","caliginosus",2,2,2,2,2,"South",29.2149122807018
"South 21","vosnesenskii",3,3,2,2,3,"South",29.2149122807018
"South 22","caliginosus",5,5,5,5,5,"South",75.3672514619883
"South 22","vosnesenskii",21,20,20,19,19,"South",75.3672514619883
"South 23","caliginosus",13,13,13,13,13,"South",53.2865497076023
"South 23","vosnesenskii",30,30,26,26,30,"South",53.2865497076023
"South 24","caliginosus",4,4,4,4,4,"South",52.9976608187135
"South 24","vosnesenskii",21,21,18,18,21,"South",52.9976608187135
"South 25","caliginosus",7,4,3,3,4,"South",42.6280701754386
"South 25","vosnesenskii",2,2,1,1,2,"South",42.6280701754386
"South 3","caliginosus",0,0,0,0,0,"South",19.6678362573099
"South 3","vosnesenskii",12,11,11,11,11,"South",19.6678362573099
"South 4","caliginosus",2,2,2,2,2,"South",21.581865497076
"South 4","vosnesenskii",21,21,20,20,21,"South",21.581865497076
"South 5","caliginosus",1,1,1,1,1,"South",35.8573099415205
"South 5","vosnesenskii",22,22,18,17,20.7777777777778,"South",35.8573099415205
"South 6","caliginosus",0,0,0,0,0,"South",67.6362573099415
"South 6","vosnesenskii",0,0,0,0,0,"South",67.6362573099415
"South 7","caliginosus",0,0,0,0,0,"South",14.9695906432749
"South 7","vosnesenskii",7,7,6,6,7,"South",14.9695906432749
"South 8","caliginosus",0,0,0,0,0,"South",27.0994152046784
"South 8","vosnesenskii",8,8,8,8,8,"South",27.0994152046784
"South 9","caliginosus",1,1,1,1,1,"South",1.9953216374269
"South 9","vosnesenskii",15,15,15,15,15,"South",1.9953216374269
