Site_Name,Long,Lat,Elev_m,Landscape,Trap_num
Midnorth 22,-123.695086,44.806803,369.136,Midnorth,22
Midnorth 9,-123.694252,44.809837,348.07,Midnorth,9
Midnorth 6,-123.690526,44.804876,353.989,Midnorth,6
Midnorth 20,-123.690372,44.795229,307.704,Midnorth,20
Midnorth 5,-123.688499,44.80098,293.664,Midnorth,5
Midnorth 8,-123.687116,44.813444,404.174,Midnorth,8
Midnorth 15,-123.684462,44.796745,276.778,Midnorth,15
Midnorth 19,-123.678,44.812,N/A,Midnorth,19
Midnorth 7,-123.683654,44.812525,526.429,Midnorth,7
Midnorth 17,-123.681675,44.792593,294.839,Midnorth,17
Midnorth 4,-123.680077,44.803609,344.986,Midnorth,4
Midnorth 2,-123.679386,44.808138,453.066,Midnorth,2
Midnorth 10,-123.676382,44.798406,329.061,Midnorth,10
Midnorth 1,-123.671754,44.809834,484.604,Midnorth,1
Midnorth 3,-123.671507,44.80197,338.628,Midnorth,3
Midnorth 13,-123.669121,44.800238,300.243,Midnorth,13
Midnorth 21,-123.666995,44.807686,314.461,Midnorth,21
Midnorth 23,-123.66342,44.804672,303.763,Midnorth,23
Midnorth 16,-123.662273,44.802726,266.087,Midnorth,16
Midnorth 24,-123.660535,44.809067,450.156,Midnorth,24
Midnorth 18,-123.657373,44.8041,300.136,Midnorth,18
Midnorth 14,-123.656827,44.801397,298.188,Midnorth,14
Midnorth 25,-123.654017,44.809473,344.144,Midnorth,25
Midnorth 12,-123.651829,44.804403,427.001,Midnorth,12
Midnorth 11,-123.647494,44.813233,485.198,Midnorth,11
